loutput,lseeds,lland,llabour,lfertilizer,lpesticide,diste1,participation
8.08,4.58,2.1,4.11,6.66,6,4.54,1
8.35,5.06,2.17,5.61,5.74,5.15,4.5,1
7.26,4.88,1.15,3.99,5.18,5.91,4.5,1
8.17,5.31,2.08,4.88,6.4,6.4,4.52,1
7.9,3.94,2.3,4.36,6.89,6.82,4.52,1
7.57,4.87,1.39,4.42,5.52,5.47,4.52,1
6.4,3.84,0.69,4.2,5.18,3.91,4.72,1
6.84,4.17,0.69,4.01,5.14,5.11,3.44,1
6.73,3.74,1.39,4.66,5.42,4.75,4.72,1
8.04,4.77,1.98,5.23,6.11,4.16,4.51,1
7.76,3.74,1.39,4.91,5.42,4.98,4.51,1
6.49,3.88,0.41,4.25,5.03,3.99,4.54,1
7.12,3.85,1.39,2.2,6.16,3.47,4.68,1
7.26,4.58,0.69,4.2,5.28,5.2,4.54,1
8.06,5.54,1.79,4.91,5.97,5.01,4.57,1
6.71,3.13,0.69,3.69,5.63,3.93,1.43,1
7.2,4.5,1.39,4.91,5.47,5.38,4.51,1
6.57,3.99,1.39,4.48,5.82,5.27,1.58,1
6.78,4.43,0.92,4.28,5.21,4.01,1.58,1
7.74,3.89,1.79,5.39,6.19,5.76,4.52,1
6.97,4.23,1.5,4.41,5.68,4.87,4.51,1
6.58,4.17,0.69,4.38,5.11,3.78,4.46,1
6.89,3.82,0.26,4.08,5.06,4.04,4.52,1
6.26,4.41,1.1,4.52,5.77,4.69,4.5,1
6.93,4.06,0.56,4.25,4.94,4.32,4.77,1
7.45,4.54,1.57,5.31,5.85,4.34,4.77,1
6.09,1.32,0.69,3.5,4.26,3.39,4.57,1
7.15,3.95,0.69,3.95,5.52,4.01,4.53,1
7.11,4.44,0.92,4.38,5.68,3.85,4.45,1
6.47,1.39,1.39,4.79,5.74,4.96,4.45,1
7.99,4.75,2.06,4.89,5.87,4.61,4.46,1
7.36,4.53,1.1,4.26,5.69,5.36,4.53,1
7.15,3.78,0.69,4.13,4.85,4.98,4.57,1
6.73,3.26,1.79,3.99,6.42,3.81,4.5,1
6.44,3.09,0.81,3.87,4.26,4.42,1.58,1
6.41,3.62,0.69,4.29,3.64,3.4,4.38,1
6.88,4.29,0.41,4.45,4.88,4.06,4.57,1
7.41,4.55,1.1,4.49,5.73,5.28,3.34,1
5.25,3.28,-0.69,3.4,4.37,2.35,3.34,1
7.54,4.47,1.61,5.17,5.84,5.35,4.57,1
6.91,4.84,1.39,4.61,5.46,4.64,4.57,1
7.44,3.47,1.25,3.97,4.55,3.22,4.57,1
7.7,4.49,2.2,5.55,6.59,6,4.73,1
6.35,3.81,0.56,4.03,4.9,4.48,4.53,1
7.12,4.17,0.64,3.99,5.37,4.95,4.53,1
7.32,3.26,1.79,4.53,4.68,3.4,4.39,1
7.9,4.53,1.39,4.93,5.38,5.53,4.42,1
7.54,4.28,1.44,4.64,5.6,4.5,4.46,1
6.93,3.96,1.39,4.19,4.99,4.69,4.72,1
6.19,3.22,0.79,3.91,5.22,4.45,4.72,1
7.77,4.23,1.61,4.57,5.92,6.08,4.51,1
7.05,4.28,1.1,4.68,4.75,5.16,4.41,1
7.67,3.77,0.69,4.47,5.08,4.79,3.85,0
6.63,3.33,0.22,4.14,4.23,0.69,1.89,0
6.04,2.86,1.5,3.56,4.26,3.05,2.67,0
8.04,4.98,2.48,5.23,6.05,5.07,1.58,0
5.36,2.24,0,2.77,4.33,3.17,3.22,0
5.89,3.5,0.92,3.53,4.48,3.54,4.73,0
6.24,3.69,0.41,3.61,5.09,3.66,4.46,0
6.62,4.7,1.39,4.88,5.56,4.13,4.57,0
4.79,2.2,-1.39,2.94,3.82,3.26,3.34,0
4.79,2.89,0.81,3.58,4.43,3.6,4.72,0
6.4,4.09,0.41,3.91,4.8,4.03,4.35,0
7.48,3.81,1.39,4.8,5.55,5.39,4.37,0
7.24,4.28,0.69,4.37,4.43,3.69,4.67,0
7.54,4.36,1.1,3.5,4.77,3.53,4.68,0
7.21,4.09,0.69,4.19,4.39,4.16,4.64,0
5.39,1.5,-0.69,1.95,4.04,2.12,4.59,0
4.97,1.87,-1.39,2.64,3.47,2.71,4.59,0
5.82,2.89,-0.6,3.58,4.25,3.91,4.52,0
6.85,3.78,0.69,4.43,4.7,3.14,4.61,0
6.03,3.48,0,3.74,4.43,2.3,4.61,0
6.35,4.35,1.1,4.11,4.69,4.08,4.74,0
7.54,4.14,0.69,4.16,5.46,4.32,4.68,0
8.04,4.43,1.1,4.73,5.39,4.6,4.67,0
6.76,3.53,0.69,4.33,4.45,4.52,4.67,0
6.92,3.95,0.69,4.43,4.89,3.86,3.44,0
5.89,2.89,-0.48,3.22,4.23,3.04,4.47,0
7.24,4.17,0.69,3.97,4.85,3.74,4.47,0
7.17,4.2,0.69,4.09,4.93,3.95,4.47,0
7.28,3.77,0.69,4.38,4.77,2.89,4.57,0
6.5,4.14,0.69,4.32,5.48,5,4.46,0
6.45,3.75,0.69,3.91,4.74,3.67,4.53,0
6.05,3.3,0,3.71,4.36,3.66,4.53,0
7.37,4.36,1.1,4.58,5.34,5,4.46,0
7.07,3.66,1.1,4.11,5.73,3.4,4.77,0
6.53,3.85,1.1,4.25,4.95,4.02,4.57,0
6.27,4.08,0.69,3.87,4.61,3.71,1.43,0
5.56,2.53,0.69,3.33,4.14,3.39,4.72,0
5.3,2.94,0,3.61,4.16,3.69,1.89,0
7.11,3.72,1.25,4.62,5.18,3.83,4.54,0
7.44,4.55,1.39,5.06,5.91,5.12,4.68,0
6.8,3.98,1.39,4.28,5.02,4.75,1.58,0
7.22,3.5,1.1,4.49,5.74,4.78,1.58,0
6.5,2.86,0.69,3.18,5.15,3.61,4.61,0
6.36,3.56,0.69,4.01,4.61,4.2,4.67,0
7.3,4.47,1.1,4.26,5.53,4.38,4.63,0
6.98,4.29,0.69,4.3,5.01,5.11,4.63,0
6.87,4.23,0.69,4.29,5.02,4.91,4.63,0
8.66,6.2,3.04,6.18,7.57,6.14,4.36,0
7.73,4.92,1.5,4.25,6.15,4.14,4.66,0
6.86,4.06,0.69,4.01,4.83,4.48,4.58,0
5.99,2.64,0,3.37,4.36,3.64,4.58,0
7.27,4.25,0.69,4.16,4.82,3.91,4.5,0
6.25,3.14,-0.29,3.74,4.71,3.14,4.67,0
7.23,3.47,0.69,4.29,5.12,4.9,4.5,0
6.62,1.4,0.69,4.52,4.52,4.32,4.36,0
6.74,1.4,0.69,4.56,4.52,4.32,4.66,0
7.24,3.4,1.1,4.86,5.81,5.52,4.56,0
7.1,3.35,0.92,4.6,5.58,5.13,4.56,0
7.62,4.5,1.1,4.7,5.74,5.46,4.5,0
7.07,3.4,-0.65,3.09,4.57,3.69,4.52,0
6.06,2.56,0.69,3.61,5.52,4.03,4.54,0
7.02,3.31,1.1,4.09,5.46,3.99,2.64,0
7.02,4.18,0.69,4.45,5.15,4.44,4.26,0
6.94,4.74,0.69,4.23,5.42,4.1,4.35,0
6.63,3.75,0.41,4.09,5.37,4.56,4.66,0
6.75,3.73,0.41,4.33,5.24,4.56,4.66,0
4.61,1.61,-1.39,2.48,3.96,1.61,4.52,0
6.58,3.08,0,4.49,4.45,4.32,4.61,0
